,image,subject,contrast,hemi,view
105,s07/tstat02_walking_rest.nii.gz.s07.rh_lateral.png,s07,walking_rest,rh,lateral
106,s07/tstat03_imagine_rest.nii.gz.s07.lh_lateral.png,s07,imagine_rest,lh,lateral
107,s07/tstat04_turning_walking.nii.gz.s07.lh_lateral.png,s07,turning_walking,lh,lateral
108,s07/SMA_imagine_rest.nii.gz.s07.lh_lateral.png,s07,imagine_rest,lh,lateral
109,s07/tstat01_turning_rest.nii.gz.s07.rh_lateral.png,s07,turning_rest,rh,lateral
110,s08/tstat03_imagine_rest.nii.gz.s08.lh_lateral.png,s08,imagine_rest,lh,lateral
111,s08/tstat04_turning_walking.nii.gz.s08.lh_lateral.png,s08,turning_walking,lh,lateral
112,s08/tstat02_walking_rest.nii.gz.s08.rh_lateral.png,s08,walking_rest,rh,lateral
113,s08/tstat03_imagine_rest.nii.gz.s08.rh_medial.png,s08,imagine_rest,rh,medial
114,s08/tstat01_turning_rest.nii.gz.s08.lh_medial.png,s08,turning_rest,lh,medial
115,s08/tstat03_imagine_rest.nii.gz.s08.lh_medial.png,s08,imagine_rest,lh,medial
116,s08/tstat01_turning_rest.nii.gz.s08.rh_medial.png,s08,turning_rest,rh,medial
117,s08/SMA_imagine_rest.nii.gz.s08.rh_lateral.png,s08,imagine_rest,rh,lateral
118,s08/tstat01_turning_rest.nii.gz.s08.rh_lateral.png,s08,turning_rest,rh,lateral
119,s08/tstat04_turning_walking.nii.gz.s08.rh_medial.png,s08,turning_walking,rh,medial
120,s08/tstat04_turning_walking.nii.gz.s08.lh_medial.png,s08,turning_walking,lh,medial
121,s08/tstat02_walking_rest.nii.gz.s08.rh_medial.png,s08,walking_rest,rh,medial
122,s08/tstat02_walking_rest.nii.gz.s08.lh_medial.png,s08,walking_rest,lh,medial
123,s08/tstat02_walking_rest.nii.gz.s08.lh_lateral.png,s08,walking_rest,lh,lateral
124,s08/tstat04_turning_walking.nii.gz.s08.rh_lateral.png,s08,turning_walking,rh,lateral
125,s08/SMA_imagine_rest.nii.gz.s08.rh_dorsal.png,s08,imagine_rest,rh,dorsal
126,s08/SMA_imagine_rest.nii.gz.s08.lh_dorsal.png,s08,imagine_rest,lh,dorsal
127,s08/tstat03_imagine_rest.nii.gz.s08.rh_lateral.png,s08,imagine_rest,rh,lateral
128,s08/SMA_imagine_rest.nii.gz.s08.lh_lateral.png,s08,imagine_rest,lh,lateral
129,s08/SMA_imagine_rest.nii.gz.s08.lh_medial.png,s08,imagine_rest,lh,medial
130,s08/SMA_imagine_rest.nii.gz.s08.rh_medial.png,s08,imagine_rest,rh,medial
131,s08/tstat01_turning_rest.nii.gz.s08.lh_lateral.png,s08,turning_rest,lh,lateral
132,s09/tstat01_turning_rest.nii.gz.s09.lh_lateral.png,s09,turning_rest,lh,lateral
133,s09/tstat04_turning_walking.nii.gz.s09.lh_lateral.png,s09,turning_walking,lh,lateral
134,s09/SMA_imagine_rest.nii.gz.s09.rh_lateral.png,s09,imagine_rest,rh,lateral
135,s09/tstat02_walking_rest.nii.gz.s09.lh_lateral.png,s09,walking_rest,lh,lateral
136,s09/tstat03_imagine_rest.nii.gz.s09.rh_lateral.png,s09,imagine_rest,rh,lateral
137,s09/tstat04_turning_walking.nii.gz.s09.rh_medial.png,s09,turning_walking,rh,medial
138,s09/tstat04_turning_walking.nii.gz.s09.lh_medial.png,s09,turning_walking,lh,medial
